ID_STG_FNT_ITT,NUM_CNPJ,Cnpj Invalido,Nome Comercial,Razao Social
137,,,,
183,12182674487,121826744872635,NMN,NMN
197,16167328168,161673281681802,NMN,NMN
267,279925978,2799259782329,NMN,NMN
322,20579036860,205790368602397,NMN,NMN
336,,,NMN,NMN
343,306428723,3064287232380,NMN,NMN
356,,,NMN,NMN
380,707714471,7077144711904,NMN,NMN
394,582504932,5825049323094,NMN,NMN
395,619875811,6198758112397,NMN,NMN
422,200819453,2008194532040,NMN,NMN
458,20616228848,206162288481972,NMN,NMN
481,,,NMN,NMN
491,20041241384,200412413841870,NMN,NMN
496,974840350,9748403502363,NMN,NMN
505,,,NMN,NMN
514,,,NMN,NMN
517,,,NMN,NMN
536,,,NMN,NMN
538,,,NMN,NMN
562,,,NMN,NMN
566,,,NMN,NMN
574,635097441,6350974411938,NMN,NMN
595,12886037774,128860377741819,NMN,NMN
601,481175752,4811757523145,NMN,NMN
610,,,NMN,NMN
619,,,,
631,667321230,6673212306834,NMN,NMN
653,,,NMN,NMN
683,,,NMN,NMN
709,17230384612,172303846123366,NMN,NMN
722,,,NMN,NMN
730,273528385,2735283852210,NMN,NMN
756,813486448,8134864483009,NMN,NMN
773,585063738,5850637381717,NMN,NMN
778,15370302582,153703025822261,NMN,NMN
790,17949664574,179496645741751,NMN,NMN
815,25372939671,253729396713383,NMN,NMN
816,25403273689,254032736892363,NMN,NMN
838,25460682383,254606823832686,NMN,NMN
855,,,NMN,NMN
866,,,NMN,NMN
872,,,NMN,NMN
884,26345171796,263451717963060,NMN,NMN
886,25290527275,252905272751802,NMN,NMN
892,23424804254,234248042541751,NMN,NMN
907,,,NMN,NMN
921,,,,
946,,,NMN,NMN
948,,,NMN,NMN
957,,,NMN,NMN
967,,,NMN,NMN
974,855749808,8557498082040,NMN,NMN
980,,,NMN,NMN
983,,,NMN,NMN
985,847984089,8479840893247,NMN,NMN
27,,,,
46,0,03247,,
107,17765603364,1776560336422202,NMN,NMN
138,,,NMN,NMN
141,,,NMN,NMN
153,,,NMN,NMN
191,15192389269,151923892692074,NMN,NMN
231,200049846,2000498462992,NMN,NMN
249,22789992923,227899929232754,NMN,NMN
277,22780431647,227804316472074,NMN,NMN
292,,,NMN,NMN
299,,,NMN,NMN
300,12394381437,123943814372907,NMN,NMN
353,,,NMN,NMN
365,19640506181,196405061812533,NMN,NMN
367,279245094,2792450941904,NMN,NMN
368,91152334,911523342771,NMN,NMN
373,20614014241,206140142413077,NMN,NMN
386,833302022,8333020223179,NMN,NMN
401,,,NMN,NMN
408,,,NMN,NMN
418,307044871,3070448711717,NMN,NMN
445,492346180,4923461802550,NMN,NMN
471,657700709,6577007092584,NMN,NMN
473,688616195,6886161952091,NMN,NMN
476,772818657,7728186571802,NMN,NMN
483,16635917392,166359173922533,NMN,NMN
485,961340293,9613402931836,NMN,NMN
498,,,NMN,NMN
499,,,NMN,NMN
501,,,NMN,NMN
573,20594482176,205944821763247,NMN,NMN
590,,,NMN,NMN
607,,,NMN,NMN
608,,,NMN,NMN
613,,,,
629,667321230,6673212303944,NMN,NMN
644,931375617,9313756173570,NMN,NMN
645,931375617,9313756175100,NMN,NMN
659,,,NMN,NMN
669,15722629707,157226297072550,NMN,NMN
670,,,NMN,NMN
695,,,,
698,17133483779,171334837791921,,
703,,,NMN,NMN
719,20797975457,207979754572074,NMN,NMN
720,18716065119,187160651191751,NMN,NMN
725,16645856680,166458566802550,NMN,NMN
754,17089666177,170896661772720,NMN,NMN
757,47037640,470376401751,NMN,NMN
779,15463141809,154631418091802,NMN,NMN
782,17403304005,174033040053111,NMN,NMN
818,25354859253,253548592532703,NMN,NMN
819,821755027,8217550272890,NMN,NMN
842,23442278061,234422780612006,NMN,NMN
863,28174401920,281744019203145,NMN,NMN
873,,,NMN,NMN
902,25368502076,253685020762788,NMN,NMN
924,,,,
937,,,NMN,NMN
962,,,NMN,NMN
1008,,,NMN,NMN
1010,707561590,7075615901819,NMN,NMN
5,,,,
6,20264587520,202645875202414,,
28,,,,
39,,,,
75,,,NMN,NMN
79,844859421,8448594212924,NMN,NMN
88,,,NMN,NMN
96,,,NMN,NMN
111,17765603364,1776560336455743,NMN,NMN
131,17765603364,17765603364468078,NMN,NMN
150,,,NMN,NMN
167,18006968072,180069680721955,NMN,NMN
177,,,NMN,NMN
184,14743110447,147431104472533,NMN,NMN
192,16907404281,169074042811700,NMN,NMN
207,,,,
223,,,NMN,NMN
232,89307936,893079362159,NMN,NMN
286,204583967,2045839671819,NMN,NMN
320,12390536292,123905362921734,NMN,NMN
362,15616957724,156169577242465,NMN,NMN
381,747785188,7477851883383,NMN,NMN
383,763529041,7635290413009,NMN,NMN
387,876672541,8766725411955,NMN,NMN
411,,,NMN,NMN
421,,,NMN,NMN
435,,,NMN,NMN
447,628126183,6281261833366,NMN,NMN
450,,,NMN,NMN
472,604921506,6049215061853,NMN,NMN
520,18874141183,188741411833026,NMN,NMN
521,,,NMN,NMN
522,,,NMN,NMN
586,,,NMN,NMN
651,,,NMN,NMN
672,,,NMN,NMN
704,740537068,7405370682380,NMN,NMN
713,14187333391,141873333911802,NMN,NMN
715,15561563938,155615639382839,NMN,NMN
717,,,NMN,NMN
718,,,NMN,NMN
721,13067119683,130671196832261,NMN,NMN
738,16630631004,166306310043111,NMN,NMN
767,17139308285,171393082852040,NMN,NMN
772,15987297930,159872979303196,NMN,NMN
780,13479622966,134796229662652,NMN,NMN
788,300274179,3002741792516,NMN,NMN
793,,,NMN,NMN
796,17585716181,175857161812499,NMN,NMN
797,,,NMN,NMN
825,,,NMN,NMN
830,341459569,34145956917782,NMN,NMN
831,341459569,34145956915334,NMN,NMN
843,23716867365,237168673651751,NMN,NMN
846,,,NMN,NMN
857,,,NMN,NMN
858,897695557,8976955573230,NMN,NMN
870,25368311625,253683116253077,NMN,NMN
879,,,NMN,NMN
896,,,NMN,NMN
912,22804298423,228042984232499,NMN,NMN
918,,,,
928,693304064,6933040643230,,
938,799568208,7995682082346,NMN,NMN
945,,,NMN,NMN
952,841275243,8412752431819,NMN,NMN
955,405111819,4051118192601,NMN,NMN
966,,,NMN,NMN
1005,,,NMN,NMN
4,17939154800,179391548002057,,
36,,,,
47,16715703645,167157036452380,,
49,104128145,1041281451768,,
52,,,,
56,870534470,8705344702873,NMN,NMN
59,332336417,3323364173213,NMN,NMN
71,17489766158,174897661582074,NMN,NMN
73,,,NMN,NMN
95,904273197,9042731971819,NMN,NMN
101,667321230,6673212302567,NMN,NMN
128,17765603364,17765603364376397,NMN,NMN
132,960315499,9603154993230,NMN,NMN
146,20626417254,206264172542975,NMN,NMN
148,,,NMN,NMN
158,,,NMN,NMN
169,,,NMN,NMN
176,,,NMN,NMN
178,,,NMN,NMN
190,13730135680,137301356803094,NMN,NMN
206,,,,
215,26554759509,265547595092244,,
220,,,NMN,NMN
226,,,NMN,NMN
230,,,NMN,NMN
255,25082840893,250828408931887,NMN,NMN
256,23584436294,235844362942975,NMN,NMN
269,10766709161,107667091611751,NMN,NMN
271,10875375762,108753757622431,NMN,NMN
324,18564646170,185646461702210,NMN,NMN
352,24991621511,249916215112448,NMN,NMN
392,,,NMN,NMN
400,,,NMN,NMN
404,,,NMN,NMN
414,,,NMN,NMN
426,,,NMN,NMN
428,501853124,5018531242737,NMN,NMN
432,,,NMN,NMN
444,640732652,6407326522584,NMN,NMN
487,944897060,9448970602771,NMN,NMN
529,,,NMN,NMN
545,,,NMN,NMN
547,,,NMN,NMN
551,,,NMN,NMN
554,,,NMN,NMN
557,,,NMN,NMN
559,,,NMN,NMN
560,,,NMN,NMN
575,650475709,6504757091802,NMN,NMN
583,,,NMN,NMN
599,650479466,6504794663009,NMN,NMN
605,998002255,9980022552380,NMN,NMN
634,667321230,66732123012699,NMN,NMN
640,667321230,66732123023715,NMN,NMN
654,,,NMN,NMN
664,801553638,8015536382074,NMN,NMN
716,13310973259,133109732593383,NMN,NMN
723,15298342738,152983427382091,NMN,NMN
735,15194234534,151942345342431,NMN,NMN
750,21404641078,214046410781904,NMN,NMN
771,13855896053,138558960532312,NMN,NMN
826,,,NMN,NMN
856,10820912845,108209128452414,NMN,NMN
867,885798294,8857982943179,NMN,NMN
877,,,NMN,NMN
882,341459569,34145956913957,NMN,NMN
894,20354741070,203547410701768,NMN,NMN
897,27577793499,275777934991870,NMN,NMN
917,15466899676,154668996763128,,
944,,,NMN,NMN
949,18273362781,182733627812176,NMN,NMN
975,,,NMN,NMN
1004,280704833,2807048332244,NMN,NMN
1006,,,NMN,NMN
1012,,,NMN,NMN
1017,,,NMN,NMN
24,,,,
90,20237915132,202379151321836,NMN,NMN
121,17765603364,17765603364215781,NMN,NMN
156,,,NMN,NMN
157,,,NMN,NMN
159,17765603364,177656033642924,NMN,NMN
172,,,NMN,NMN
188,,,NMN,NMN
196,17855656342,178556563423247,NMN,NMN
198,,,NMN,NMN
200,768287715,7682877152601,,
219,13458961200,134589612002533,NMN,NMN
233,20263700579,202637005793145,NMN,NMN
236,,,NMN,NMN
238,,,NMN,NMN
264,18575780762,185757807622465,NMN,NMN
274,497221032,4972210323298,NMN,NMN
332,18634960737,186349607373060,NMN,NMN
355,,,NMN,NMN
393,,,NMN,NMN
419,,,NMN,NMN
467,343320729,3433207291870,NMN,NMN
479,275247935,2752479352805,NMN,NMN
482,538739639,5387396392550,NMN,NMN
486,962125506,9621255061870,NMN,NMN
528,13604479347,136044793473281,NMN,NMN
539,,,NMN,NMN
541,,,NMN,NMN
544,,,NMN,NMN
552,15385437512,153854375122363,NMN,NMN
571,20720916786,207209167862550,NMN,NMN
579,,,NMN,NMN
632,667321230,6673212309945,NMN,NMN
667,17082548685,170825486852533,,
688,18147829273,181478292732278,NMN,NMN
697,864816894,8648168942975,,
706,,,NMN,NMN
733,982788139,9827881392839,NMN,NMN
770,13018198919,130181989191819,NMN,NMN
794,,,NMN,NMN
868,,,NMN,NMN
869,,,NMN,NMN
890,21981339133,219813391331989,NMN,NMN
923,11122690113,111226901133298,,
929,371758329,3717583291853,NMN,NMN
930,,,NMN,NMN
947,,,NMN,NMN
1007,,,NMN,NMN
1013,922063170,9220631702346,NMN,NMN
1019,,,NMN,NMN
1024,,,NMN,NMN
1,,,,
10,22724869663,227248696632040,,
42,16766964731,167669647312890,,
84,,,NMN,NMN
99,,,NMN,NMN
108,17765603364,1776560336428203,NMN,NMN
112,17765603364,1776560336485850,NMN,NMN
123,17765603364,17765603364236436,NMN,NMN
149,26125856632,261258566323095190,NMN,NMN
163,26125856632,261258566323585283,NMN,NMN
164,,,NMN,NMN
194,13132677021,131326770212618,NMN,NMN
213,,,,
234,30686020,306860203230,NMN,NMN
253,23413063340,234130633402805,NMN,NMN
279,24649123854,246491238541717,NMN,NMN
305,232369294,2323692942771,NMN,NMN
309,20587849048,205878490482040,NMN,NMN
311,20539110643,205391106432261,NMN,NMN
363,19301773038,193017730382941,NMN,NMN
369,15587223381,155872233812057,NMN,NMN
372,15583780524,155837805242873,NMN,NMN
407,,,NMN,NMN
415,,,NMN,NMN
436,,,NMN,NMN
513,,,NMN,NMN
525,,,NMN,NMN
526,14880412902,148804129022023,NMN,NMN
561,,,NMN,NMN
567,,,NMN,NMN
606,,,NMN,NMN
639,667321230,66732123020468,NMN,NMN
642,667321230,66732123027846,NMN,NMN
665,26790897363,267908973633332,,
678,,,NMN,NMN
692,,,NMN,NMN
693,18947030162,189470301621717,NMN,NMN
707,19461689743,194616897432499,NMN,NMN
711,16761097742,167610977422482,NMN,NMN
712,,,NMN,NMN
714,442209304,4422093042992,NMN,NMN
747,21083167882,210831678821700,NMN,NMN
752,25086338371,250863383711700,NMN,NMN
776,12586831161,125868311613128,NMN,NMN
812,,,NMN,NMN
814,25403218779,254032187791887,NMN,NMN
839,25443057140,254430571401785,NMN,NMN
874,845318353,8453183532040,NMN,NMN
883,27516617979,275166179792023,NMN,NMN
899,25368497452,253684974522907,NMN,NMN
940,,,NMN,NMN
965,334026489,3340264893383,NMN,NMN
990,,,NMN,NMN
991,,,NMN,NMN
1009,,,NMN,NMN
1011,,,NMN,NMN
12,479285114,4792851141836,,
18,,,,
48,22587415194,225874151942244,,
50,295811730,2958117302720,,
61,110768209,1107682091853,NMN,NMN
64,26125856632,261258566322414,,
66,,,,
74,921958263,9219582632550,NMN,NMN
98,24078152912,240781529123060,NMN,NMN
102,,,NMN,NMN
120,17765603364,17765603364170918,NMN,NMN
127,17765603364,17765603364330378,NMN,NMN
181,,,NMN,NMN
199,17484082973,174840829732142,,
210,73246472,732464721989,,
244,21393802422,213938024222210,NMN,NMN
247,,,NMN,NMN
284,23493468342,234934683423077,NMN,NMN
291,,,NMN,NMN
296,,,NMN,NMN
317,20521669493,205216694933077,NMN,NMN
330,,,NMN,NMN
334,,,NMN,NMN
339,20646566334,206465663342686,NMN,NMN
340,12408155466,124081554661700,NMN,NMN
341,12118122869,121181228692720,NMN,NMN
348,463844422,4638444221768,NMN,NMN
349,19190237823,191902378231853,NMN,NMN
378,707217680,7072176802839,NMN,NMN
382,730635639,7306356392414,NMN,NMN
430,20605092811,206050928111734,NMN,NMN
438,450815146,4508151462550,NMN,NMN
452,502679375,5026793752210,NMN,NMN
465,645158687,6451586872703,NMN,NMN
469,24228636946,242286369461717,NMN,NMN
470,24321219830,243212198302363,NMN,NMN
478,12077600445,120776004452839,NMN,NMN
493,264709550,2647095502482,NMN,NMN
503,,,NMN,NMN
504,,,NMN,NMN
549,,,NMN,NMN
556,,,NMN,NMN
580,,,NMN,NMN
628,872108653,8721086532040,NMN,NMN
650,,,NMN,NMN
655,,,NMN,NMN
729,21119368022,211193680222346,NMN,NMN
760,17783205776,177832057762635,,
777,12479678342,124796783422210,NMN,NMN
795,93607678,936076782873,NMN,NMN
800,,,NMN,NMN
834,,,NMN,NMN
841,22846063258,228460632583077,NMN,NMN
853,,,NMN,NMN
860,25757451570,257574515703213,NMN,NMN
875,,,NMN,NMN
889,22537627430,225376274303009,NMN,NMN
933,,,NMN,NMN
953,,,NMN,NMN
973,779722289,7797222893179,NMN,NMN
979,,,NMN,NMN
998,,,NMN,NMN
1000,,,NMN,NMN
1020,,,NMN,NMN
1022,,,NMN,NMN
11,22097389973,220973899733247,,
14,,,,
35,,,,
37,17130360845,171303608451921,,
53,,,NMN,NMN
57,637700753,6377007533060,NMN,NMN
62,,,NMN,NMN
63,21420212109,214202121092448,NMN,NMN
77,,,NMN,NMN
80,,,NMN,NMN
85,11922760025,119227600252992,NMN,NMN
86,20299839162,202998391622890,NMN,NMN
92,,,NMN,NMN
106,17765603364,1776560336414433,NMN,NMN
117,17765603364,17765603364159630,NMN,NMN
122,17765603364,17765603364227817,NMN,NMN
136,,,NMN,NMN
151,,,NMN,NMN
160,,,NMN,NMN
187,13638820061,136388200611802,NMN,NMN
205,12770750183,127707501832142,,
214,,,,
217,17562627104,175626271042805,NMN,NMN
221,,,,
246,594641776,5946417762839,NMN,NMN
266,,,NMN,NMN
282,23515317320,235153173202210,NMN,NMN
288,401609139,4016091393196,NMN,NMN
303,124238210,1242382102567,NMN,NMN
318,,,NMN,NMN
323,20665382257,206653822571989,NMN,NMN
333,20632301583,206323015833332,NMN,NMN
351,,,NMN,NMN
361,17302302840,173023028402040,NMN,NMN
403,,,NMN,NMN
437,578258655,5782586553230,NMN,NMN
451,475192296,4751922962380,NMN,NMN
459,374555560,3745555603315,NMN,NMN
489,18112632830,181126328302941,NMN,NMN
492,,,NMN,NMN
506,623955046,6239550463196,NMN,NMN
532,,,NMN,NMN
563,,,NMN,NMN
569,882972741,8829727412771,NMN,NMN
588,,,NMN,NMN
636,667321230,66732123015453,NMN,NMN
637,667321230,66732123017714,NMN,NMN
652,,,NMN,NMN
676,,,NMN,NMN
696,17592292087,175922920873196,NMN,NMN
708,434931128,4349311281785,NMN,NMN
710,13912727325,139127273252788,NMN,NMN
727,12504729440,125047294402380,NMN,NMN
731,15005025078,150050250782907,NMN,NMN
734,15091247361,150912473612210,NMN,NMN
740,,,NMN,NMN
768,19743012169,197430121692754,NMN,NMN
789,315017803,3150178033145,NMN,NMN
802,14695334990,146953349901785,NMN,NMN
811,,,NMN,NMN
827,,,NMN,NMN
854,,,NMN,NMN
888,23186693686,231866936862516,NMN,NMN
891,22856142133,228561421331734,NMN,NMN
898,928505847,9285058473043,NMN,NMN
903,22661665363,226616653632720,NMN,NMN
