ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ,NOM_COM,NOM_RAZ_SCL
183,12182674487,2635,NMN,NMN
197,16167328168,1802,NMN,NMN
267,279925978,2329,NMN,NMN
322,20579036860,2397,NMN,NMN
336,6574465046,2465,NMN,NMN
343,306428723,2380,NMN,NMN
356,7422524275,2550,NMN,NMN
380,707714471,1904,NMN,NMN
394,582504932,3094,NMN,NMN
395,619875811,2397,NMN,NMN
422,200819453,2040,NMN,NMN
458,20616228848,1972,NMN,NMN
481,9804044092,2958,NMN,NMN
491,20041241384,1870,NMN,NMN
496,974840350,2363,NMN,NMN
505,1178913365,2703,NMN,NMN
514,1490688877,1853,NMN,NMN
517,1582863982,2941,NMN,NMN
536,2264736362,2108,NMN,NMN
538,2296456424,3281,NMN,NMN
562,5634131874,3060,NMN,NMN
566,3123522693,1734,NMN,NMN
574,635097441,1938,NMN,NMN
595,12886037774,1819,NMN,NMN
601,481175752,3145,NMN,NMN
610,8128994601,1700,NMN,NMN
631,667321230,6834,NMN,NMN
653,1151773375,5236,NMN,NMN
683,1728130988,3145,NMN,NMN
709,17230384612,3366,NMN,NMN
722,1756472640,3111,NMN,NMN
730,273528385,2210,NMN,NMN
756,813486448,3009,NMN,NMN
773,585063738,1717,NMN,NMN
778,15370302582,2261,NMN,NMN
790,17949664574,1751,NMN,NMN
815,25372939671,3383,NMN,NMN
816,25403273689,2363,NMN,NMN
838,25460682383,2686,NMN,NMN
855,7674462915,2261,NMN,NMN
866,2043373055,2958,NMN,NMN
872,1096246938,3026,NMN,NMN
884,26345171796,3060,NMN,NMN
886,25290527275,1802,NMN,NMN
892,23424804254,1751,NMN,NMN
907,9532134685,1989,NMN,NMN
946,2398073159,3213,NMN,NMN
948,2184106518,2601,NMN,NMN
957,2169709983,2601,NMN,NMN
967,1506016281,2754,NMN,NMN
974,855749808,2040,NMN,NMN
980,2160383664,1700,NMN,NMN
983,1146097993,2329,NMN,NMN
985,847984089,3247,NMN,NMN
107,17765603364,22202,NMN,NMN
138,2227510850,1870,NMN,NMN
141,1761561063,1904,NMN,NMN
153,2227510850,105944,NMN,NMN
191,15192389269,2074,NMN,NMN
231,200049846,2992,NMN,NMN
249,22789992923,2754,NMN,NMN
277,22780431647,2074,NMN,NMN
292,7327288371,2720,NMN,NMN
299,6262684043,1700,NMN,NMN
300,12394381437,2907,NMN,NMN
353,6575900798,2125,NMN,NMN
365,19640506181,2533,NMN,NMN
367,279245094,1904,NMN,NMN
368,91152334,2771,NMN,NMN
373,20614014241,3077,NMN,NMN
386,833302022,3179,NMN,NMN
401,1248858301,2278,NMN,NMN
408,1321585440,3179,NMN,NMN
418,307044871,1717,NMN,NMN
445,492346180,2550,NMN,NMN
471,657700709,2584,NMN,NMN
473,688616195,2091,NMN,NMN
476,772818657,1802,NMN,NMN
483,16635917392,2533,NMN,NMN
485,961340293,1836,NMN,NMN
498,1116377522,1751,NMN,NMN
499,1135939643,2142,NMN,NMN
501,1139001598,3281,NMN,NMN
573,20594482176,3247,NMN,NMN
590,4210361525,3315,NMN,NMN
607,7060622869,3094,NMN,NMN
608,1111118011,2788,NMN,NMN
629,667321230,3944,NMN,NMN
644,931375617,3570,NMN,NMN
645,931375617,5100,NMN,NMN
659,6101057903,3995,NMN,NMN
669,15722629707,2550,NMN,NMN
670,2158616140,2550,NMN,NMN
703,1044064231,2856,NMN,NMN
719,20797975457,2074,NMN,NMN
720,18716065119,1751,NMN,NMN
725,16645856680,2550,NMN,NMN
754,17089666177,2720,NMN,NMN
757,47037640,1751,NMN,NMN
779,15463141809,1802,NMN,NMN
782,17403304005,3111,NMN,NMN
818,25354859253,2703,NMN,NMN
819,821755027,2890,NMN,NMN
842,23442278061,2006,NMN,NMN
863,28174401920,3145,NMN,NMN
873,7569221542,2108,NMN,NMN
902,25368502076,2788,NMN,NMN
937,1619107472,1819,NMN,NMN
962,1437306242,2074,NMN,NMN
1008,2671797197,2380,NMN,NMN
1010,707561590,1819,NMN,NMN
75,2087064942,2431,NMN,NMN
79,844859421,2924,NMN,NMN
88,1207979829,2210,NMN,NMN
96,2700137982,2227,NMN,NMN
111,17765603364,55743,NMN,NMN
131,17765603364,468078,NMN,NMN
150,2227510850,113322,NMN,NMN
167,18006968072,1955,NMN,NMN
177,5145249937,2210,NMN,NMN
184,14743110447,2533,NMN,NMN
192,16907404281,1700,NMN,NMN
223,1413744650,3196,NMN,NMN
232,89307936,2159,NMN,NMN
286,204583967,1819,NMN,NMN
320,12390536292,1734,NMN,NMN
362,15616957724,2465,NMN,NMN
381,747785188,3383,NMN,NMN
383,763529041,3009,NMN,NMN
387,876672541,1955,NMN,NMN
411,1313263685,3145,NMN,NMN
421,2150251613,3366,NMN,NMN
435,9643963235,2159,NMN,NMN
447,628126183,3366,NMN,NMN
450,4812139578,3060,NMN,NMN
472,604921506,1853,NMN,NMN
520,18874141183,3026,NMN,NMN
521,1692596704,3060,NMN,NMN
522,1701802221,2040,NMN,NMN
586,3579251417,3060,NMN,NMN
651,1151773375,2482,NMN,NMN
672,2377798364,2108,NMN,NMN
704,740537068,2380,NMN,NMN
713,14187333391,1802,NMN,NMN
715,15561563938,2839,NMN,NMN
717,1056939470,1972,NMN,NMN
718,1492714767,2125,NMN,NMN
721,13067119683,2261,NMN,NMN
738,16630631004,3111,NMN,NMN
767,17139308285,2040,NMN,NMN
772,15987297930,3196,NMN,NMN
780,13479622966,2652,NMN,NMN
788,300274179,2516,NMN,NMN
793,5446599196,2584,NMN,NMN
796,17585716181,2499,NMN,NMN
797,7004047651,2244,NMN,NMN
825,1412145613,2176,NMN,NMN
830,341459569,17782,NMN,NMN
831,341459569,15334,NMN,NMN
843,23716867365,1751,NMN,NMN
846,7631966043,2550,NMN,NMN
857,2256774123,2040,NMN,NMN
858,897695557,3230,NMN,NMN
870,25368311625,3077,NMN,NMN
879,9750229402,2380,NMN,NMN
896,1083759826,3247,NMN,NMN
912,22804298423,2499,NMN,NMN
938,799568208,2346,NMN,NMN
945,1343777750,2380,NMN,NMN
952,841275243,1819,NMN,NMN
955,405111819,2601,NMN,NMN
966,1729374555,2907,NMN,NMN
1005,1257215025,2193,NMN,NMN
56,870534470,2873,NMN,NMN
59,332336417,3213,NMN,NMN
71,17489766158,2074,NMN,NMN
73,9116931564,2652,NMN,NMN
95,904273197,1819,NMN,NMN
101,667321230,2567,NMN,NMN
128,17765603364,376397,NMN,NMN
132,960315499,3230,NMN,NMN
146,20626417254,2975,NMN,NMN
148,3172930422,2669,NMN,NMN
158,5145367560,3383,NMN,NMN
169,4799896382,2380,NMN,NMN
176,4952951938,2533,NMN,NMN
178,5145257451,3213,NMN,NMN
190,13730135680,3094,NMN,NMN
220,9541206684,3332,NMN,NMN
226,7422512426,2788,NMN,NMN
230,1012115859,2805,NMN,NMN
255,25082840893,1887,NMN,NMN
256,23584436294,2975,NMN,NMN
269,10766709161,1751,NMN,NMN
271,10875375762,2431,NMN,NMN
324,18564646170,2210,NMN,NMN
352,24991621511,2448,NMN,NMN
392,7791534792,2431,NMN,NMN
400,1206494080,2108,NMN,NMN
404,1273441219,2193,NMN,NMN
414,1827888008,3247,NMN,NMN
426,6299422879,1717,NMN,NMN
428,501853124,2737,NMN,NMN
432,5742238682,1734,NMN,NMN
444,640732652,2584,NMN,NMN
487,944897060,2771,NMN,NMN
529,2051051496,1700,NMN,NMN
545,2610738722,1972,NMN,NMN
547,2767709361,3094,NMN,NMN
551,2602386044,2125,NMN,NMN
554,2723821532,3230,NMN,NMN
557,2768402961,3026,NMN,NMN
559,2982302554,2584,NMN,NMN
560,2940675572,2941,NMN,NMN
575,650475709,1802,NMN,NMN
583,1226452420,2567,NMN,NMN
599,650479466,3009,NMN,NMN
605,998002255,2380,NMN,NMN
634,667321230,12699,NMN,NMN
640,667321230,23715,NMN,NMN
654,1440857185,2584,NMN,NMN
664,801553638,2074,NMN,NMN
716,13310973259,3383,NMN,NMN
723,15298342738,2091,NMN,NMN
735,15194234534,2431,NMN,NMN
750,21404641078,1904,NMN,NMN
771,13855896053,2312,NMN,NMN
826,1402802532,3264,NMN,NMN
856,10820912845,2414,NMN,NMN
867,885798294,3179,NMN,NMN
877,1289980978,2312,NMN,NMN
882,341459569,13957,NMN,NMN
894,20354741070,1768,NMN,NMN
897,27577793499,1870,NMN,NMN
944,1512032105,2346,NMN,NMN
949,18273362781,2176,NMN,NMN
975,1484171638,3315,NMN,NMN
1004,280704833,2244,NMN,NMN
1006,1297763459,2720,NMN,NMN
1012,1770639420,1785,NMN,NMN
1017,3040347048,2108,NMN,NMN
90,20237915132,1836,NMN,NMN
121,17765603364,215781,NMN,NMN
156,5375217352,3111,NMN,NMN
157,5145351087,1785,NMN,NMN
159,17765603364,2924,NMN,NMN
172,4952931130,2210,NMN,NMN
188,1209401131,1717,NMN,NMN
196,17855656342,3247,NMN,NMN
198,9835762131,2771,NMN,NMN
219,13458961200,2533,NMN,NMN
233,20263700579,3145,NMN,NMN
236,9385241476,1734,NMN,NMN
238,9372337337,1870,NMN,NMN
264,18575780762,2465,NMN,NMN
274,497221032,3298,NMN,NMN
332,18634960737,3060,NMN,NMN
355,5481387571,2006,NMN,NMN
393,1053622328,1802,NMN,NMN
419,2324962806,3077,NMN,NMN
467,343320729,1870,NMN,NMN
479,275247935,2805,NMN,NMN
482,538739639,2550,NMN,NMN
486,962125506,1870,NMN,NMN
528,13604479347,3281,NMN,NMN
539,2332638646,1921,NMN,NMN
541,2526492332,2635,NMN,NMN
544,2555937386,1972,NMN,NMN
552,15385437512,2363,NMN,NMN
571,20720916786,2550,NMN,NMN
579,3441273280,1819,NMN,NMN
632,667321230,9945,NMN,NMN
688,18147829273,2278,NMN,NMN
706,1384785405,2380,NMN,NMN
733,982788139,2839,NMN,NMN
770,13018198919,1819,NMN,NMN
794,2273774837,3009,NMN,NMN
868,9729822245,3128,NMN,NMN
869,1030763295,1870,NMN,NMN
890,21981339133,1989,NMN,NMN
929,371758329,1853,NMN,NMN
930,2208770067,3383,NMN,NMN
947,3774118048,2839,NMN,NMN
1007,1326006562,1717,NMN,NMN
1013,922063170,2346,NMN,NMN
1019,2543529171,2482,NMN,NMN
1024,2179698979,1751,NMN,NMN
84,1224612357,2465,NMN,NMN
99,1602617710,1819,NMN,NMN
108,17765603364,28203,NMN,NMN
112,17765603364,85850,NMN,NMN
123,17765603364,236436,NMN,NMN
149,26125856632,3095190,NMN,NMN
163,26125856632,3585283,NMN,NMN
164,2761244720,1819,NMN,NMN
194,13132677021,2618,NMN,NMN
234,30686020,3230,NMN,NMN
253,23413063340,2805,NMN,NMN
279,24649123854,1717,NMN,NMN
305,232369294,2771,NMN,NMN
309,20587849048,2040,NMN,NMN
311,20539110643,2261,NMN,NMN
363,19301773038,2941,NMN,NMN
369,15587223381,2057,NMN,NMN
372,15583780524,2873,NMN,NMN
407,1503841845,1717,NMN,NMN
415,2054254194,1734,NMN,NMN
436,8257383429,1751,NMN,NMN
513,1514827891,1717,NMN,NMN
525,1997122073,1870,NMN,NMN
526,14880412902,2023,NMN,NMN
561,2965797764,1700,NMN,NMN
567,1294208759,2822,NMN,NMN
606,6827230804,3315,NMN,NMN
639,667321230,20468,NMN,NMN
642,667321230,27846,NMN,NMN
678,4849345149,2584,NMN,NMN
692,1308399815,1921,NMN,NMN
693,18947030162,1717,NMN,NMN
707,19461689743,2499,NMN,NMN
711,16761097742,2482,NMN,NMN
712,5031867723,3196,NMN,NMN
714,442209304,2992,NMN,NMN
747,21083167882,1700,NMN,NMN
752,25086338371,1700,NMN,NMN
776,12586831161,3128,NMN,NMN
812,9543087496,2176,NMN,NMN
814,25403218779,1887,NMN,NMN
839,25443057140,1785,NMN,NMN
874,845318353,2040,NMN,NMN
883,27516617979,2023,NMN,NMN
899,25368497452,2907,NMN,NMN
940,2096005446,1700,NMN,NMN
965,334026489,3383,NMN,NMN
990,2738612552,2414,NMN,NMN
991,3038017419,2601,NMN,NMN
1009,2085317648,1887,NMN,NMN
1011,2100596211,2737,NMN,NMN
61,110768209,1853,NMN,NMN
74,921958263,2550,NMN,NMN
98,24078152912,3060,NMN,NMN
102,1749965805,1700,NMN,NMN
120,17765603364,170918,NMN,NMN
127,17765603364,330378,NMN,NMN
181,5145173063,2482,NMN,NMN
244,21393802422,2210,NMN,NMN
247,7400202493,2397,NMN,NMN
284,23493468342,3077,NMN,NMN
291,7346581144,2312,NMN,NMN
296,7535018392,1904,NMN,NMN
317,20521669493,3077,NMN,NMN
330,7406055610,2839,NMN,NMN
334,6319474566,1938,NMN,NMN
339,20646566334,2686,NMN,NMN
340,12408155466,1700,NMN,NMN
341,12118122869,2720,NMN,NMN
348,463844422,1768,NMN,NMN
349,19190237823,1853,NMN,NMN
378,707217680,2839,NMN,NMN
382,730635639,2414,NMN,NMN
430,20605092811,1734,NMN,NMN
438,450815146,2550,NMN,NMN
452,502679375,2210,NMN,NMN
465,645158687,2703,NMN,NMN
469,24228636946,1717,NMN,NMN
470,24321219830,2363,NMN,NMN
478,12077600445,2839,NMN,NMN
493,264709550,2482,NMN,NMN
503,1159806708,2550,NMN,NMN
504,1190862937,3298,NMN,NMN
549,2950579891,2788,NMN,NMN
556,2753322941,2414,NMN,NMN
580,1046403108,1938,NMN,NMN
628,872108653,2040,NMN,NMN
650,1044088796,8143,NMN,NMN
655,1571993825,1955,NMN,NMN
729,21119368022,2346,NMN,NMN
777,12479678342,2210,NMN,NMN
795,93607678,2873,NMN,NMN
800,8719849899,2023,NMN,NMN
834,5769153252,3315,NMN,NMN
841,22846063258,3077,NMN,NMN
853,9543557410,2363,NMN,NMN
860,25757451570,3213,NMN,NMN
875,2082554808,2363,NMN,NMN
889,22537627430,3009,NMN,NMN
933,3310126236,1819,NMN,NMN
953,1991268089,3366,NMN,NMN
973,779722289,3179,NMN,NMN
979,2544807418,1938,NMN,NMN
998,1335947873,2397,NMN,NMN
1000,2453140953,2431,NMN,NMN
1020,1332716564,1870,NMN,NMN
1022,2186049176,2737,NMN,NMN
53,4968618339,2890,NMN,NMN
57,637700753,3060,NMN,NMN
62,9727902996,1700,NMN,NMN
63,21420212109,2448,NMN,NMN
77,3830784012,2040,NMN,NMN
80,1196013495,2193,NMN,NMN
85,11922760025,2992,NMN,NMN
86,20299839162,2890,NMN,NMN
92,2324123550,2992,NMN,NMN
106,17765603364,14433,NMN,NMN
117,17765603364,159630,NMN,NMN
122,17765603364,227817,NMN,NMN
136,2427548269,2618,NMN,NMN
151,2227510850,174488,NMN,NMN
160,9556191912,1955,NMN,NMN
187,13638820061,1802,NMN,NMN
217,17562627104,2805,NMN,NMN
246,594641776,2839,NMN,NMN
266,7165769161,2482,NMN,NMN
282,23515317320,2210,NMN,NMN
288,401609139,3196,NMN,NMN
303,124238210,2567,NMN,NMN
318,6950134990,1734,NMN,NMN
323,20665382257,1989,NMN,NMN
333,20632301583,3332,NMN,NMN
351,6567441190,1785,NMN,NMN
361,17302302840,2040,NMN,NMN
403,1268330832,3060,NMN,NMN
437,578258655,3230,NMN,NMN
451,475192296,2380,NMN,NMN
459,374555560,3315,NMN,NMN
489,18112632830,2941,NMN,NMN
492,1041464387,2720,NMN,NMN
506,623955046,3196,NMN,NMN
532,2115154586,2210,NMN,NMN
563,1219353135,2703,NMN,NMN
569,882972741,2771,NMN,NMN
588,3906427450,3264,NMN,NMN
636,667321230,15453,NMN,NMN
637,667321230,17714,NMN,NMN
652,1151773375,3859,NMN,NMN
676,2333776728,2006,NMN,NMN
696,17592292087,3196,NMN,NMN
708,434931128,1785,NMN,NMN
710,13912727325,2788,NMN,NMN
727,12504729440,2380,NMN,NMN
731,15005025078,2907,NMN,NMN
734,15091247361,2210,NMN,NMN
740,1065061815,3213,NMN,NMN
768,19743012169,2754,NMN,NMN
789,315017803,3145,NMN,NMN
802,14695334990,1785,NMN,NMN
811,1756809614,3162,NMN,NMN
827,7631958529,1734,NMN,NMN
854,7667002380,2601,NMN,NMN
